sample_id	gene_id	seq_loc	description
SAMPLE_000001	FRAG_000001	hg38:21:7713773-7728864:-	15092
SAMPLE_000002	FRAG_000002	hg19:8:38456926-38486681:+	29756
SAMPLE_000003	FRAG_000003	hg38:22:147395715-147493294:+	97580
SAMPLE_000004	FRAG_000004	hg19:19:9531599-9587400:+	55802
SAMPLE_000005	FRAG_000005	hg38:3:63454433-63483589:+	29157
SAMPLE_000006	FRAG_000006	hg19:18:193205051-193231612:-	26562
SAMPLE_000007	FRAG_000007	hg38:8:159179802-159239179:-	59378
SAMPLE_000008	FRAG_000008	hg19:1:43858220-43958177:-	99958
SAMPLE_000009	FRAG_000009	hg38:11:42736211-42773131:+	36921
SAMPLE_000010	FRAG_000010	hg19:11:25896273-25910168:-	13896
SAMPLE_000011	FRAG_000011	hg38:4:93329911-93377462:-	47552
SAMPLE_000012	FRAG_000012	hg19:2:124325926-124422072:+	96147
SAMPLE_000013	FRAG_000013	hg38:13:149187279-149198106:-	10828
SAMPLE_000014	FRAG_000014	hg19:21:98075663-98157232:+	81570
SAMPLE_000015	FRAG_000015	hg38:X:13300889-13310504:+	9616
SAMPLE_000016	FRAG_000016	hg19:10:63489327-63500284:+	10958
SAMPLE_000017	FRAG_000017	hg38:13:122711401-122748334:-	36934
SAMPLE_000018	FRAG_000018	hg19:6:96367253-96416272:+	49020
SAMPLE_000019	FRAG_000019	hg38:22:189393455-189428947:+	35493
SAMPLE_000020	FRAG_000020	hg19:20:46939680-47023406:+	83727
SAMPLE_000021	FRAG_000021	hg38:6:102859295-102920383:-	61089
SAMPLE_000022	FRAG_000022	hg19:21:150505059-150595756:+	90698
SAMPLE_000023	FRAG_000023	hg38:22:16015728-16058731:+	43004
SAMPLE_000024	FRAG_000024	hg19:2:108686853-108728699:-	41847
SAMPLE_000025	FRAG_000025	hg38:3:153251235-153279387:-	28153
SAMPLE_000026	FRAG_000026	hg19:7:135011371-135097779:-	86409
SAMPLE_000027	FRAG_000027	hg38:21:39351800-39412441:-	60642
SAMPLE_000028	FRAG_000028	hg19:5:151691111-151723935:-	32825
SAMPLE_000029	FRAG_000029	hg38:Y:116006828-116083949:-	77122
SAMPLE_000030	FRAG_000030	hg19:12:38133144-38162389:-	29246
SAMPLE_000031	FRAG_000031	hg38:3:13647705-13747265:+	99561
SAMPLE_000032	FRAG_000032	hg19:5:43944840-44027579:-	82740
SAMPLE_000033	FRAG_000033	hg38:20:104285188-104294013:-	8826
SAMPLE_000034	FRAG_000034	hg19:20:143033050-143094897:-	61848
SAMPLE_000035	FRAG_000035	hg38:18:183612186-183614189:+	2004
SAMPLE_000036	FRAG_000036	hg19:22:72625340-72696220:-	70881
SAMPLE_000037	FRAG_000037	hg38:4:117706409-117745377:+	38969
SAMPLE_000038	FRAG_000038	hg19:15:194835111-194836035:-	925
SAMPLE_000039	FRAG_000039	hg38:17:137279761-137303676:+	23916
SAMPLE_000040	FRAG_000040	hg19:21:172516698-172556314:+	39617
SAMPLE_000041	FRAG_000041	hg38:5:44365489-44414997:+	49509
SAMPLE_000042	FRAG_000042	hg19:20:132159096-132202082:+	42987
SAMPLE_000043	FRAG_000043	hg38:4:83547695-83595770:+	48076
SAMPLE_000044	FRAG_000044	hg19:2:153298718-153330788:+	32071
SAMPLE_000045	FRAG_000045	hg38:3:131457070-131553501:+	96432
SAMPLE_000046	FRAG_000046	hg19:18:35464821-35481803:-	16983
SAMPLE_000047	FRAG_000047	hg38:18:72150596-72172738:-	22143
SAMPLE_000048	FRAG_000048	hg19:7:196939378-197010563:+	71186
SAMPLE_000049	FRAG_000049	hg38:X:108103679-108145035:-	41357
SAMPLE_000050	FRAG_000050	hg19:15:122194888-122263226:+	68339
SAMPLE_000051	FRAG_000051	hg38:8:18186821-18216771:-	29951
SAMPLE_000052	FRAG_000052	hg19:1:149692176-149769785:+	77610
SAMPLE_000053	FRAG_000053	hg38:19:2930277-2959640:+	29364
SAMPLE_000054	FRAG_000054	hg19:X:16803806-16887024:+	83219
SAMPLE_000055	FRAG_000055	hg38:3:89698723-89703339:+	4617
SAMPLE_000056	FRAG_000056	hg19:17:75753171-75784865:-	31695
SAMPLE_000057	FRAG_000057	hg38:7:36517190-36588367:-	71178
SAMPLE_000058	FRAG_000058	hg19:8:110269327-110331819:+	62493
SAMPLE_000059	FRAG_000059	hg38:4:177894335-177907538:-	13204
SAMPLE_000060	FRAG_000060	hg19:12:111354427-111410445:-	56019
SAMPLE_000061	FRAG_000061	hg38:Y:181754918-181762517:+	7600
SAMPLE_000062	FRAG_000062	hg19:2:196478346-196531617:-	53272
SAMPLE_000063	FRAG_000063	hg38:4:52429568-52462658:+	33091
SAMPLE_000064	FRAG_000064	hg19:18:38629899-38689198:-	59300
SAMPLE_000065	FRAG_000065	hg38:6:125185777-125222785:+	37009
SAMPLE_000066	FRAG_000066	hg19:3:148726826-148785407:+	58582
SAMPLE_000067	FRAG_000067	hg38:2:146112968-146198944:+	85977
SAMPLE_000068	FRAG_000068	hg19:3:64452636-64551906:+	99271
SAMPLE_000069	FRAG_000069	hg38:14:130213667-130277819:+	64153
SAMPLE_000070	FRAG_000070	hg19:13:45194440-45202624:-	8185
SAMPLE_000071	FRAG_000071	hg38:1:72189903-72241575:-	51673
SAMPLE_000072	FRAG_000072	hg19:10:187989857-188045800:-	55944
SAMPLE_000073	FRAG_000073	hg38:5:80646901-80672290:+	25390
SAMPLE_000074	FRAG_000074	hg19:2:198497944-198574357:+	76414
SAMPLE_000075	FRAG_000075	hg38:Y:16345186-16386789:+	41604
SAMPLE_000076	FRAG_000076	hg19:19:135982870-136045862:+	62993
SAMPLE_000077	FRAG_000077	hg38:2:22504757-22571818:+	67062
SAMPLE_000078	FRAG_000078	hg19:3:19243105-19321596:+	78492
SAMPLE_000079	FRAG_000079	hg38:13:153921079-153937291:+	16213
SAMPLE_000080	FRAG_000080	hg19:19:11668071-11746494:+	78424
SAMPLE_000081	FRAG_000081	hg38:14:157678336-157764998:-	86663
SAMPLE_000082	FRAG_000082	hg19:9:180778197-180805468:-	27272
SAMPLE_000083	FRAG_000083	hg38:8:107242954-107278267:+	35314
SAMPLE_000084	FRAG_000084	hg19:22:81529852-81614958:-	85107
SAMPLE_000085	FRAG_000085	hg38:11:20473144-20572191:+	99048
SAMPLE_000086	FRAG_000086	hg19:15:152127454-152209369:+	81916
SAMPLE_000087	FRAG_000087	hg38:3:58218174-58289141:-	70968
SAMPLE_000088	FRAG_000088	hg19:5:19466026-19512270:+	46245
SAMPLE_000089	FRAG_000089	hg38:12:43344843-43382695:-	37853
SAMPLE_000090	FRAG_000090	hg19:18:82206326-82299039:+	92714
SAMPLE_000091	FRAG_000091	hg38:22:81363870-81437061:+	73192
SAMPLE_000092	FRAG_000092	hg19:5:31985146-32020309:+	35164
SAMPLE_000093	FRAG_000093	hg38:Y:42727730-42800741:-	73012
SAMPLE_000094	FRAG_000094	hg19:10:57540466-57620241:-	79776
SAMPLE_000095	FRAG_000095	hg38:7:171251954-171342564:-	90611
SAMPLE_000096	FRAG_000096	hg19:17:68409847-68474378:+	64532
SAMPLE_000097	FRAG_000097	hg38:3:114702755-114786390:-	83636
SAMPLE_000098	FRAG_000098	hg19:2:90538401-90539364:+	964
SAMPLE_000099	FRAG_000099	hg38:21:44374331-44409165:-	34835
SAMPLE_000100	FRAG_000100	hg19:18:115806332-115899324:+	92993
SAMPLE_000101	FRAG_000101	hg38:4:186494166-186504527:+	10362
SAMPLE_000102	FRAG_000102	hg19:18:100110661-100115882:+	5222
SAMPLE_000103	FRAG_000103	hg38:14:12228349-12245552:-	17204
SAMPLE_000104	FRAG_000104	hg19:12:97048684-97054412:+	5729
SAMPLE_000105	FRAG_000105	hg38:22:180028575-180061780:+	33206
SAMPLE_000106	FRAG_000106	hg19:12:110086099-110159983:+	73885
SAMPLE_000107	FRAG_000107	hg38:8:48527133-48548931:-	21799
